Identifier	F519_33h	F519_41h	F519_45h	F519_49h	F519_53h	F519_57h	F519_61h	F519_65h	F519_69h	F521_33h	F521_41h	F521_45h	F521_49h	F521_53h	F521_57h	F521_61h	F521_65h	F521_69h	F522_33h	F522_41h	F522_45h	F522_49h	F522_53h	F522_57h	F522_61h	F522_65h	F522_69h
SCO6587	5.968166304197678	6.512279440692836	7.366155576976483	6.862555680157643	6.631074129974298	6.447545291867558	6.858712369136318	6.713612287195541	4.774436943652014	7.461316614199136	5.3207478910244985	7.2791611989400575	6.180732751795654	6.350145615594128	6.956142904636936	6.730245474892611	6.5498806156122455	6.996835651683483	5.958560302233538	6.2253738500421205	6.143249328730954	7.570600292623405	7.053300351782272	6.216864069974912	6.593868010294917	6.561516195260891	7.127706102324424
SCO6588	6.395503259317901	6.706064385454173	6.908389272079568	7.327232404298934	7.041794872738395	6.6041736151383965	6.8413866677979085	6.9404320767729155	6.303689867718217	7.326143352447412	6.553248304671476	7.226520990841759	7.2221203000726595	7.195096668778189	7.207390544089473	6.753180266558252	6.831151346267803	7.092344660844754	6.211028187444225	6.672184888381605	6.826414738058801	7.432837586771285	6.861842435053845	6.891799955034704	6.853109766506741	6.603898893969416	7.1652033166360445
SCO6589	8.473164511804828	8.263099633924224	8.751343651904904	8.685237513231119	8.209180583258565	8.136885375608715	8.439980096756441	8.171710159635667	7.744476916532966	9.515190492104942	8.025178486358765	8.615534270231258	8.06093147189373	8.274031818577825	8.42973905087638	8.246671337914135	7.940099072215943	8.612625402894995	8.364984405473246	7.9517458675976895	8.00409705207387	8.903811792266028	8.102021375382911	8.240944979268328	8.15816299595908	8.184485147324821	8.334127382346598
SCO6590	9.488108432984596	9.062266249306752	9.136632692463783	8.349549560004615	10.080224255943286	10.656053313326957	10.546641889057035	10.576654098292614	10.316495857547928	9.951865045503318	8.921994934181038	9.0470487387826	8.154400806664528	9.757184511697002	10.269145222715988	10.354521314827029	10.149086456076521	10.089344950721639	9.458170059410023	8.801499869904092	8.929211834664724	8.871687331340986	9.673175158314418	9.911490225050956	10.162593929924508	10.279007745951608	10.045092510670397
SCO6591	7.143785524192589	6.5498806156122455	5.9862096171548975	5.275837356108868	7.6340000096643585	8.048707018036147	7.19707230286563	7.5159576889647655	7.822010659974198	6.071746501128394	7.168092289357656	5.835119369425647	6.421764625557788	7.225712469002387	7.329981012318524	7.69399054153299	6.903854877646541	6.837151908180147	7.546741391850244	7.076371560439705	7.106538209652207	5.7652741300264445	7.041794872738395	7.5298241724436945	7.148393159328418	7.351843847802189	6.788523043923779
SCO6592	9.136632692463783	8.509184745664026	8.087989190983556	8.389733663967602	8.734432306284768	9.122253510082167	8.887575172374369	9.008330083409568	9.20534527455805	7.892284921243985	8.655579538135807	7.863901799915946	8.478501674191126	8.411818361845226	8.624279798926501	8.606936031072163	8.798862203272853	8.580384882344866	8.891690783923812	8.442836508199093	8.285109641095026	7.682016985207621	8.476846308783319	8.62736054424348	8.824620197149311	8.870973315823347	8.381172901901547
SCO6593	10.424114922258287	10.018108406359925	10.017561052191798	8.69190213146712	11.170762150293514	11.526257245630799	11.349598621319629	11.295330411587203	11.241174341682244	10.727736650425143	9.893391559104083	9.763562438494395	8.517220702476234	10.728406173390288	11.18146013502468	11.255038298657421	11.049174504268361	11.14074868435884	10.472562297158225	9.831752188571237	9.837378675666601	9.538096174698618	10.82450995074512	11.025274584030623	10.995248871820257	11.148166327750218	11.082459252427084
SCO6594	7.993155149365732	7.683783388610577	7.69399054153299	6.9317019032179985	7.258765092329719	7.538550125970667	7.683783388610577	7.444171420762859	7.100036030944349	8.168653138718895	7.5810923523609794	8.041625498518346	6.632841282158351	7.3226734746919036	7.610209385805911	7.634899039290055	7.191381769281341	7.616527052751521	7.79466630281015	7.570600292623405	7.57428878274418	7.379054919036877	7.63696618699592	7.516396122950461	7.679197556875172	7.4500829011714	7.431118451761581
SCO6595	6.49610303338646	5.788252189750539	5.5993291620469545	6.095967439562257	6.365338971061983	6.467808817740957	6.224508924160648	6.367939630935494	6.393370198257329	6.071746501128394	5.741660229509831	6.204781066911867	6.208357178021914	5.921653488774949	6.273761694687618	6.365338971061983	6.40691752873349	6.193017248054287	6.421016266255584	6.324367998642444	5.877708218393504	5.867835167755739	5.9862096171548975	6.088642250469647	6.235959150921611	6.197022989771346	6.051410228722366
SCO6596	6.553248304671476	6.185934962057846	6.470349303695305	6.502197847755372	6.873369657790639	6.74774727844685	7.051440111999271	7.089971579284355	6.06413721699453	7.259615584252435	6.383751691912256	7.448016054495585	6.487568774629196	6.991844527463843	6.994394133669503	6.804685016683903	6.971439247616816	7.131865588352717	6.350145615594128	6.621605857009248	6.306664468683653	6.800549445215708	6.81872767237309	6.643960585194118	7.2624889418183916	6.742630076012482	7.031553614796752
